Date,Close
10/13/2015,46.889999
10/14/2015,46.68
10/15/2015,47.009998
10/16/2015,47.509998
10/19/2015,47.619999
10/20/2015,47.77
10/21/2015,47.200001
10/22/2015,48.029999
10/23/2015,52.869999
10/26/2015,54.25
10/27/2015,53.689999
10/28/2015,53.98
10/29/2015,53.360001
10/30/2015,52.639999
11/2/2015,53.240002
11/3/2015,54.150002
11/4/2015,54.400002
11/5/2015,54.380001
11/6/2015,54.919998
11/9/2015,54.16
11/10/2015,53.509998
11/11/2015,53.650002
11/12/2015,53.32
11/13/2015,52.84
11/16/2015,53.77
11/17/2015,52.970001
11/18/2015,53.849998
11/19/2015,53.939999
11/20/2015,54.189999
11/23/2015,54.189999
11/24/2015,54.25
11/25/2015,53.689999
11/27/2015,53.93
11/30/2015,54.349998
12/1/2015,55.220001
12/2/2015,55.209999
12/3/2015,54.200001
12/4/2015,55.91
12/7/2015,55.810001
12/8/2015,55.790001
12/9/2015,54.98
12/10/2015,55.27
12/11/2015,54.060001
12/14/2015,55.139999
12/15/2015,55.200001
12/16/2015,56.130001
12/17/2015,55.700001
12/18/2015,54.130001
12/21/2015,54.830002
12/22/2015,55.349998
12/23/2015,55.82
12/24/2015,55.669998
12/28/2015,55.950001
12/29/2015,56.549999
12/30/2015,56.310001
12/31/2015,55.48
1/4/2016,54.799999
1/5/2016,55.049999
1/6/2016,54.049999
1/7/2016,52.169998
1/8/2016,52.330002
1/11/2016,52.299999
1/12/2016,52.779999
1/13/2016,51.639999
1/14/2016,53.110001
1/15/2016,50.990002
1/19/2016,50.560001
1/20/2016,50.790001
1/21/2016,50.48
1/22/2016,52.290001
1/25/2016,51.790001
1/26/2016,52.169998
1/27/2016,51.220001
1/28/2016,52.060001
1/29/2016,55.09
2/1/2016,54.709999
2/2/2016,53
2/3/2016,52.16
2/4/2016,52
2/5/2016,50.16
2/8/2016,49.41
2/9/2016,49.279999
2/10/2016,49.709999
2/11/2016,49.689999
2/12/2016,50.5
2/16/2016,51.09
2/17/2016,52.419998
2/18/2016,52.189999
2/19/2016,51.82
2/22/2016,52.650002
2/23/2016,51.18
2/24/2016,51.360001
2/25/2016,52.099998
2/26/2016,51.299999
2/29/2016,50.880001
3/1/2016,52.580002
3/2/2016,52.950001
3/3/2016,52.349998
3/4/2016,52.029999
3/7/2016,51.029999
3/8/2016,51.650002
3/9/2016,52.84
3/10/2016,52.049999
3/11/2016,53.07
3/14/2016,53.169998
3/15/2016,53.59
3/16/2016,54.349998
3/17/2016,54.66
3/18/2016,53.490002
3/21/2016,53.860001
3/22/2016,54.07
3/23/2016,53.970001
3/24/2016,54.209999
3/28/2016,53.540001
3/29/2016,54.709999
3/30/2016,55.049999
3/31/2016,55.23
4/1/2016,55.57
4/4/2016,55.43
4/5/2016,54.560001
4/6/2016,55.119999
4/7/2016,54.459999
4/8/2016,54.419998
4/11/2016,54.310001
4/12/2016,54.650002
4/13/2016,55.349998
4/14/2016,55.360001
4/15/2016,55.650002
4/18/2016,56.459999
4/19/2016,56.389999
4/20/2016,55.59
4/21/2016,55.779999
4/22/2016,51.779999
4/25/2016,52.110001
4/26/2016,51.439999
4/27/2016,50.939999
4/28/2016,49.900002
4/29/2016,49.869999
5/2/2016,50.610001
5/3/2016,49.779999
5/4/2016,49.869999
5/5/2016,49.939999
5/6/2016,50.389999
5/9/2016,50.07
5/10/2016,51.02
5/11/2016,51.049999
5/12/2016,51.509998
5/13/2016,51.080002
5/16/2016,51.830002
5/17/2016,50.509998
5/18/2016,50.810001
5/19/2016,50.32
5/20/2016,50.619999
5/23/2016,50.029999
5/24/2016,51.59
5/25/2016,52.119999
5/26/2016,51.889999
5/27/2016,52.32
5/31/2016,53
6/1/2016,52.849998
6/2/2016,52.48
6/3/2016,51.790001
6/6/2016,52.130001
6/7/2016,52.099998
6/8/2016,52.040001
6/9/2016,51.619999
6/10/2016,51.48
6/13/2016,50.139999
6/14/2016,49.830002
6/15/2016,49.689999
6/16/2016,50.389999
6/17/2016,50.130001
6/20/2016,50.07
6/21/2016,51.189999
6/22/2016,50.990002
6/23/2016,51.91
6/24/2016,49.830002
6/27/2016,48.43
6/28/2016,49.439999
6/29/2016,50.540001
6/30/2016,51.169998
7/1/2016,51.16
7/5/2016,51.169998
7/6/2016,51.380001
7/7/2016,51.380001
7/8/2016,52.299999
7/11/2016,52.59
7/12/2016,53.209999
7/13/2016,53.509998
7/14/2016,53.740002
7/15/2016,53.700001
7/18/2016,53.959999
7/19/2016,53.09
7/20/2016,55.91
7/21/2016,55.799999
7/22/2016,56.57
7/25/2016,56.73
7/26/2016,56.759998
7/27/2016,56.189999
7/28/2016,56.209999
7/29/2016,56.68
8/1/2016,56.580002
8/2/2016,56.580002
8/3/2016,56.970001
8/4/2016,57.389999
8/5/2016,57.959999
8/8/2016,58.060001
8/9/2016,58.200001
8/10/2016,58.02
8/11/2016,58.299999
8/12/2016,57.939999
8/15/2016,58.119999
8/16/2016,57.439999
8/17/2016,57.560001
8/18/2016,57.599998
8/19/2016,57.619999
8/22/2016,57.669998
8/23/2016,57.889999
8/24/2016,57.950001
8/25/2016,58.169998
8/26/2016,58.029999
8/29/2016,58.099998
8/30/2016,57.889999
8/31/2016,57.459999
9/1/2016,57.59
9/2/2016,57.669998
9/6/2016,57.610001
9/7/2016,57.66
9/8/2016,57.43
9/9/2016,56.209999
9/12/2016,57.049999
9/13/2016,56.529999
9/14/2016,56.259998
9/15/2016,57.189999
9/16/2016,57.25
9/19/2016,56.93
9/20/2016,56.810001
9/21/2016,57.759998
9/22/2016,57.82
9/23/2016,57.43
9/26/2016,56.900002
9/27/2016,57.950001
9/28/2016,58.029999
9/29/2016,57.400002
9/30/2016,57.599998
10/3/2016,57.419998
10/4/2016,57.240002
10/5/2016,57.639999
10/6/2016,57.740002
10/7/2016,57.799999
10/10/2016,58.040001
10/11/2016,57.189999
10/12/2016,57.110001
10/13/2016,56.919998
10/14/2016,57.419998
10/17/2016,57.220001
10/18/2016,57.66
10/19/2016,57.529999
10/20/2016,57.25
10/21/2016,59.66
10/24/2016,61
10/25/2016,60.990002
10/26/2016,60.630001
10/27/2016,60.099998
10/28/2016,59.869999
10/31/2016,59.919998
11/1/2016,59.799999
11/2/2016,59.43
11/3/2016,59.209999
11/4/2016,58.709999
11/7/2016,60.419998
11/8/2016,60.470001
11/9/2016,60.169998
11/10/2016,58.700001
11/11/2016,59.02
11/14/2016,58.119999
11/15/2016,58.869999
11/16/2016,59.650002
11/17/2016,60.639999
11/18/2016,60.349998
11/21/2016,60.860001
11/22/2016,61.119999
11/23/2016,60.400002
11/25/2016,60.529999
11/28/2016,60.610001
11/29/2016,61.09
11/30/2016,60.259998
12/1/2016,59.200001
12/2/2016,59.25
12/5/2016,60.220001
12/6/2016,59.950001
12/7/2016,61.369999
12/8/2016,61.009998
12/9/2016,61.970001
12/12/2016,62.169998
12/13/2016,62.98
12/14/2016,62.68
12/15/2016,62.580002
12/16/2016,62.299999
12/19/2016,63.619999
12/20/2016,63.540001
12/21/2016,63.540001
12/22/2016,63.549999
12/23/2016,63.240002
12/27/2016,63.279999
12/28/2016,62.990002
12/29/2016,62.900002
12/30/2016,62.139999
1/3/2017,62.580002
1/4/2017,62.299999
1/5/2017,62.299999
1/6/2017,62.84
1/9/2017,62.639999
1/10/2017,62.619999
1/11/2017,63.189999
1/12/2017,62.610001
1/13/2017,62.700001
1/17/2017,62.529999
1/18/2017,62.5
1/19/2017,62.299999
1/20/2017,62.740002
1/23/2017,62.959999
1/24/2017,63.52
1/25/2017,63.68
1/26/2017,64.269997
1/27/2017,65.779999
1/30/2017,65.129997
1/31/2017,64.650002
2/1/2017,63.580002
2/2/2017,63.169998
2/3/2017,63.68
2/6/2017,63.639999
2/7/2017,63.43
2/8/2017,63.34
2/9/2017,64.059998
2/10/2017,64
2/13/2017,64.720001
2/14/2017,64.57
2/15/2017,64.529999
2/16/2017,64.519997
2/17/2017,64.620003
2/21/2017,64.489998
2/22/2017,64.360001
2/23/2017,64.620003
2/24/2017,64.620003
2/27/2017,64.230003
2/28/2017,63.98
3/1/2017,64.940002
3/2/2017,64.010002
3/3/2017,64.25
3/6/2017,64.269997
3/7/2017,64.400002
3/8/2017,64.989998
3/9/2017,64.730003
3/10/2017,64.93
3/13/2017,64.709999
3/14/2017,64.410004
3/15/2017,64.75
3/16/2017,64.639999
3/17/2017,64.870003
3/20/2017,64.93
3/21/2017,64.209999
3/22/2017,65.029999
3/23/2017,64.870003
3/24/2017,64.980003
3/27/2017,65.099998
3/28/2017,65.290001
3/29/2017,65.470001
3/30/2017,65.709999
3/31/2017,65.860001
4/3/2017,65.550003
4/4/2017,65.730003
4/5/2017,65.559998
4/6/2017,65.730003
4/7/2017,65.68
4/10/2017,65.529999
4/11/2017,65.480003
4/12/2017,65.230003
4/13/2017,64.949997
4/17/2017,65.480003
4/18/2017,65.389999
4/19/2017,65.040001
4/20/2017,65.5
4/21/2017,66.400002
4/24/2017,67.529999
4/25/2017,67.919998
4/26/2017,67.830002
4/27/2017,68.269997
4/28/2017,68.459999
5/1/2017,69.410004
5/2/2017,69.300003
5/3/2017,69.080002
5/4/2017,68.809998
5/5/2017,69
5/8/2017,68.940002
5/9/2017,69.040001
5/10/2017,69.309998
5/11/2017,68.459999
5/12/2017,68.379997
5/15/2017,68.43
5/16/2017,69.410004
5/17/2017,67.480003
5/18/2017,67.709999
5/19/2017,67.690002
5/22/2017,68.449997
5/23/2017,68.68
5/24/2017,68.769997
5/25/2017,69.620003
5/26/2017,69.959999
5/30/2017,70.410004
5/31/2017,69.839996
6/1/2017,70.099998
6/2/2017,71.760002
6/5/2017,72.279999
6/6/2017,72.519997
6/7/2017,72.389999
6/8/2017,71.949997
6/9/2017,70.32
6/12/2017,69.779999
6/13/2017,70.650002
6/14/2017,70.269997
6/15/2017,69.900002
6/16/2017,70
6/19/2017,70.870003
6/20/2017,69.910004
6/21/2017,70.269997
6/22/2017,70.260002
6/23/2017,71.209999
6/26/2017,70.529999
6/27/2017,69.209999
6/28/2017,69.800003
6/29/2017,68.489998
6/30/2017,68.93
7/3/2017,68.169998
7/5/2017,69.080002
7/6/2017,68.57
7/7/2017,69.459999
7/10/2017,69.980003
7/11/2017,69.989998
7/12/2017,71.150002
7/13/2017,71.769997
7/14/2017,72.779999
7/17/2017,73.349998
7/18/2017,73.300003
7/19/2017,73.860001
7/20/2017,74.220001
7/21/2017,73.790001
7/24/2017,73.599998
7/25/2017,74.190002
7/26/2017,74.050003
7/27/2017,73.160004
7/28/2017,73.040001
7/31/2017,72.699997
8/1/2017,72.580002
8/2/2017,72.260002
8/3/2017,72.150002
8/4/2017,72.68
8/7/2017,72.400002
